,casual,count,datetime,registered
47,2,17,2011-01-21 23:00:00,14
48,3,24,2011-01-22 00:00:00,24
49,2,16,2011-01-22 01:00:00,17
50,2,12,2011-01-22 02:00:00,11
51,1,7,2011-01-22 03:00:00,5
52,0,2,2011-01-22 04:00:00,2
53,0,4,2011-01-22 06:00:00,3
54,2,15,2011-01-22 07:00:00,8
55,3,25,2011-01-22 08:00:00,20
56,4,34,2011-01-22 09:00:00,25
57,5,57,2011-01-22 10:00:00,52
58,6,57,2011-01-22 11:00:00,53
59,8,72,2011-01-22 12:00:00,69
60,11,76,2011-01-22 13:00:00,72
61,9,75,2011-01-22 14:00:00,68
62,10,75,2011-01-22 15:00:00,71
63,10,75,2011-01-22 16:00:00,67
64,13,86,2011-01-22 17:00:00,66
65,5,68,2011-01-22 18:00:00,59
66,4,53,2011-01-22 19:00:00,44
67,1,41,2011-01-22 20:00:00,36
68,1,38,2011-01-22 21:00:00,33
69,2,28,2011-01-22 22:00:00,27
70,0,17,2011-01-22 23:00:00,15
71,2,26,2011-01-23 00:00:00,25
72,2,18,2011-01-23 01:00:00,18
73,1,12,2011-01-23 02:00:00,13
74,4,11,2011-01-23 03:00:00,8
75,0,3,2011-01-23 05:00:00,2
76,0,2,2011-01-23 06:00:00,1
77,1,8,2011-01-23 07:00:00,6
78,1,18,2011-01-23 08:00:00,17
79,1,28,2011-01-23 09:00:00,24
80,2,54,2011-01-23 10:00:00,50
81,7,62,2011-01-23 11:00:00,54
82,5,70,2011-01-23 12:00:00,65
83,5,72,2011-01-23 13:00:00,66
84,7,74,2011-01-23 14:00:00,66
85,7,73,2011-01-23 15:00:00,66
86,9,75,2011-01-23 16:00:00,68
87,6,76,2011-01-23 17:00:00,63
88,5,74,2011-01-23 18:00:00,63
89,4,55,2011-01-23 19:00:00,44
90,1,34,2011-01-23 20:00:00,37
91,1,35,2011-01-23 21:00:00,32
92,1,24,2011-01-23 22:00:00,23
93,0,17,2011-01-23 23:00:00,13
94,0,13,2011-01-24 00:00:00,12
95,0,6,2011-01-24 01:00:00,6
96,0,1,2011-01-24 03:00:00,2
97,0,2,2011-01-24 04:00:00,2
98,0,6,2011-01-24 05:00:00,6
99,0,36,2011-01-24 06:00:00,34
100,2,83,2011-01-24 07:00:00,81
101,2,175,2011-01-24 08:00:00,176
102,7,127,2011-01-24 09:00:00,119
103,7,56,2011-01-24 10:00:00,47
104,4,50,2011-01-24 11:00:00,43
105,7,61,2011-01-24 12:00:00,59
106,7,64,2011-01-24 13:00:00,60
107,2,50,2011-01-24 14:00:00,52
108,5,57,2011-01-24 15:00:00,55
109,3,73,2011-01-24 16:00:00,74
110,3,153,2011-01-24 17:00:00,147
111,3,155,2011-01-24 18:00:00,154
112,2,96,2011-01-24 19:00:00,95
113,2,71,2011-01-24 20:00:00,72
114,2,49,2011-01-24 21:00:00,48
115,2,37,2011-01-24 22:00:00,31
116,2,24,2011-01-24 23:00:00,20
117,1,9,2011-01-25 00:00:00,8
118,0,4,2011-01-25 01:00:00,4
119,0,1,2011-01-25 02:00:00,1
120,0,1,2011-01-25 04:00:00,0
121,0,5,2011-01-25 05:00:00,5
122,1,33,2011-01-25 06:00:00,32
123,1,81,2011-01-25 07:00:00,81
124,4,220,2011-01-25 08:00:00,212
125,5,124,2011-01-25 09:00:00,119
126,4,52,2011-01-25 10:00:00,46
127,6,62,2011-01-25 11:00:00,53
128,8,75,2011-01-25 12:00:00,65
129,9,78,2011-01-25 13:00:00,71
130,12,78,2011-01-25 14:00:00,60
131,12,71,2011-01-25 15:00:00,56
132,12,93,2011-01-25 16:00:00,88
133,11,224,2011-01-25 17:00:00,208
134,11,197,2011-01-25 18:00:00,192
135,2,110,2011-01-25 19:00:00,107
136,2,69,2011-01-25 20:00:00,70
137,2,48,2011-01-25 21:00:00,47
138,2,42,2011-01-25 22:00:00,41
139,2,29,2011-01-25 23:00:00,26
140,2,9,2011-01-26 00:00:00,7
141,0,4,2011-01-26 01:00:00,4
142,0,2,2011-01-26 02:00:00,1
143,0,2,2011-01-26 05:00:00,2
144,1,22,2011-01-26 06:00:00,22
145,5,63,2011-01-26 07:00:00,63
146,7,136,2011-01-26 08:00:00,146
147,3,99,2011-01-26 09:00:00,86
148,1,57,2011-01-26 10:00:00,31
149,1,54,2011-01-26 11:00:00,29
150,1,54,2011-01-26 12:00:00,30
151,1,54,2011-01-26 13:00:00,31
152,0,51,2011-01-26 14:00:00,30
153,1,51,2011-01-26 15:00:00,30
154,0,69,2011-01-26 16:00:00,48
155,0,114,2011-01-26 17:00:00,117
156,5,74,2011-01-27 16:00:00,68
157,5,168,2011-01-27 17:00:00,167
158,4,144,2011-01-27 18:00:00,139
159,2,97,2011-01-27 19:00:00,95
160,2,78,2011-01-27 20:00:00,81
161,2,53,2011-01-27 21:00:00,49
162,3,40,2011-01-27 22:00:00,37
163,3,26,2011-01-27 23:00:00,25
164,2,9,2011-01-28 00:00:00,6
165,0,5,2011-01-28 01:00:00,5
166,0,2,2011-01-28 02:00:00,1
167,0,1,2011-01-28 03:00:00,1
168,0,7,2011-01-28 05:00:00,6
169,1,30,2011-01-28 06:00:00,30
170,2,88,2011-01-28 07:00:00,87
171,5,221,2011-01-28 08:00:00,212
172,2,93,2011-01-28 09:00:00,85
173,1,59,2011-01-28 10:00:00,36
174,1,58,2011-01-28 11:00:00,35
175,1,58,2011-01-28 12:00:00,41
176,1,59,2011-01-28 13:00:00,41
177,3,61,2011-01-28 14:00:00,41
178,2,51,2011-01-28 15:00:00,45
179,4,68,2011-01-28 16:00:00,67
180,5,161,2011-01-28 17:00:00,157
181,4,150,2011-01-28 18:00:00,145
182,1,108,2011-01-28 19:00:00,105
183,2,72,2011-01-28 20:00:00,72
184,1,50,2011-01-28 21:00:00,47
185,2,40,2011-01-28 22:00:00,39
186,2,28,2011-01-28 23:00:00,26
187,2,34,2011-01-29 00:00:00,31
188,3,23,2011-01-29 01:00:00,20
189,3,17,2011-01-29 02:00:00,15
190,3,10,2011-01-29 03:00:00,8
191,0,3,2011-01-29 04:00:00,3
192,0,3,2011-01-29 06:00:00,2
193,1,10,2011-01-29 07:00:00,8
194,2,21,2011-01-29 08:00:00,20
195,5,37,2011-01-29 09:00:00,32
196,4,59,2011-01-29 10:00:00,61
197,5,62,2011-01-29 11:00:00,59
198,10,81,2011-01-29 12:00:00,74
199,11,87,2011-01-29 13:00:00,75
200,11,85,2011-01-29 14:00:00,74
201,11,83,2011-01-29 15:00:00,71
202,12,83,2011-01-29 16:00:00,74
203,13,77,2011-01-29 17:00:00,64
204,9,68,2011-01-29 18:00:00,56
205,5,64,2011-01-29 19:00:00,50
206,6,41,2011-01-29 20:00:00,36
207,5,33,2011-01-29 21:00:00,27
208,3,30,2011-01-29 22:00:00,29
209,3,23,2011-01-29 23:00:00,25
210,3,24,2011-01-30 00:00:00,19
211,2,23,2011-01-30 01:00:00,21
212,3,20,2011-01-30 02:00:00,18
213,2,9,2011-01-30 03:00:00,7
214,0,4,2011-01-30 04:00:00,4
215,0,3,2011-01-30 05:00:00,3
216,1,10,2011-01-30 07:00:00,7
217,2,18,2011-01-30 08:00:00,14
218,5,35,2011-01-30 09:00:00,21
219,6,58,2011-01-30 10:00:00,57
220,12,66,2011-01-30 11:00:00,58
221,34,120,2011-01-30 12:00:00,90
222,28,99,2011-01-30 13:00:00,85
223,29,104,2011-01-30 14:00:00,86
224,37,122,2011-01-30 15:00:00,93
225,31,122,2011-01-30 16:00:00,94
226,20,80,2011-01-30 17:00:00,67
227,8,66,2011-01-30 18:00:00,57
228,4,46,2011-01-30 19:00:00,39
229,5,37,2011-01-30 20:00:00,31
230,3,35,2011-01-30 21:00:00,33
231,3,35,2011-01-30 22:00:00,34
232,1,20,2011-01-30 23:00:00,19
233,2,13,2011-01-31 00:00:00,10
234,0,3,2011-01-31 01:00:00,3
235,0,2,2011-01-31 02:00:00,1
236,0,2,2011-01-31 03:00:00,1
237,0,2,2011-01-31 04:00:00,1
238,0,2,2011-01-31 05:00:00,2
239,0,34,2011-01-31 06:00:00,34
240,1,83,2011-01-31 07:00:00,83
241,2,163,2011-01-31 08:00:00,159
242,2,108,2011-01-31 09:00:00,111
243,2,42,2011-01-31 10:00:00,39
244,2,41,2011-01-31 11:00:00,38
245,3,55,2011-01-31 12:00:00,56
246,4,56,2011-01-31 13:00:00,53
247,4,56,2011-01-31 14:00:00,56
248,3,52,2011-01-31 15:00:00,51
249,3,72,2011-01-31 16:00:00,69
250,2,161,2011-01-31 17:00:00,159
251,1,156,2011-01-31 18:00:00,153
252,5,121,2011-01-31 19:00:00,121
253,2,69,2011-01-31 20:00:00,68
254,1,41,2011-01-31 21:00:00,40
255,1,37,2011-01-31 22:00:00,37
256,1,22,2011-01-31 23:00:00,21
257,3,28,2011-02-20 00:00:00,25
258,3,23,2011-02-20 01:00:00,23
259,2,18,2011-02-20 02:00:00,16
260,1,8,2011-02-20 03:00:00,6
261,1,2,2011-02-20 04:00:00,2
262,1,5,2011-02-20 06:00:00,3
263,2,15,2011-02-20 07:00:00,9
264,3,26,2011-02-20 08:00:00,24
265,8,38,2011-02-20 09:00:00,31
266,29,91,2011-02-20 10:00:00,71
267,33,104,2011-02-20 11:00:00,79
268,38,116,2011-02-20 12:00:00,89
269,41,143,2011-02-20 13:00:00,117
270,48,137,2011-02-20 14:00:00,95
271,55,151,2011-02-20 15:00:00,121
272,53,147,2011-02-20 16:00:00,115
273,37,111,2011-02-20 17:00:00,85
274,25,86,2011-02-20 18:00:00,64
275,23,77,2011-02-20 19:00:00,55
276,25,66,2011-02-20 20:00:00,45
277,14,58,2011-02-20 21:00:00,43
278,7,40,2011-02-20 22:00:00,40
279,7,35,2011-02-20 23:00:00,28
280,6,33,2011-02-21 00:00:00,26
281,5,28,2011-02-21 01:00:00,21
282,4,17,2011-02-21 02:00:00,14
283,2,7,2011-02-21 03:00:00,5
284,1,7,2011-02-21 04:00:00,4
285,1,6,2011-02-21 05:00:00,4
286,1,23,2011-02-21 06:00:00,23
287,4,33,2011-02-21 07:00:00,12
288,10,47,2011-02-21 08:00:00,29
289,22,52,2011-02-21 09:00:00,35
290,29,107,2011-02-21 10:00:00,81
291,29,119,2011-02-21 11:00:00,95
292,31,99,2011-02-21 12:00:00,80
293,31,68,2011-02-21 13:00:00,38
294,27,87,2011-02-21 14:00:00,69
295,29,97,2011-02-21 15:00:00,74
296,28,75,2011-02-21 16:00:00,53
297,23,77,2011-02-21 17:00:00,64
298,5,77,2011-02-21 18:00:00,67
299,4,72,2011-02-21 19:00:00,62
300,3,30,2011-02-21 20:00:00,26
301,2,20,2011-02-21 21:00:00,22
302,1,20,2011-02-21 22:00:00,20
303,1,15,2011-02-21 23:00:00,17
304,0,26,2011-02-22 06:00:00,28
305,1,84,2011-02-22 07:00:00,83
306,3,198,2011-02-22 08:00:00,196
307,4,113,2011-02-22 09:00:00,110
308,4,47,2011-02-22 10:00:00,44
309,4,49,2011-02-22 11:00:00,45
310,5,60,2011-02-22 12:00:00,56
311,7,61,2011-02-22 13:00:00,60
312,6,61,2011-02-22 14:00:00,56
313,4,68,2011-02-22 15:00:00,60
314,4,73,2011-02-22 16:00:00,68
315,4,161,2011-02-22 17:00:00,154
316,3,154,2011-02-22 18:00:00,150
317,3,98,2011-02-22 19:00:00,96
318,3,66,2011-02-22 20:00:00,67
319,3,50,2011-02-22 21:00:00,49
320,3,40,2011-02-22 22:00:00,34
321,3,24,2011-02-22 23:00:00,21
322,0,11,2011-02-23 00:00:00,11
323,0,5,2011-02-23 01:00:00,5
324,0,1,2011-02-23 02:00:00,1
325,0,1,2011-02-23 03:00:00,1
326,0,6,2011-02-23 05:00:00,6
327,0,29,2011-02-23 06:00:00,27
328,1,80,2011-02-23 07:00:00,82
329,6,194,2011-02-23 08:00:00,179
330,5,125,2011-02-23 09:00:00,122
331,9,59,2011-02-23 10:00:00,48
332,10,59,2011-02-23 11:00:00,51
333,9,78,2011-02-23 12:00:00,67
334,13,79,2011-02-23 13:00:00,67
335,12,76,2011-02-23 14:00:00,62
336,13,82,2011-02-23 15:00:00,68
337,13,94,2011-02-23 16:00:00,86
338,14,233,2011-02-23 17:00:00,215
339,13,223,2011-02-23 18:00:00,207
340,6,129,2011-02-23 19:00:00,130
341,3,71,2011-02-23 20:00:00,69
342,2,61,2011-02-23 21:00:00,57
343,1,47,2011-02-23 22:00:00,44
344,1,25,2011-02-23 23:00:00,23
345,0,11,2011-02-24 00:00:00,10
346,0,4,2011-02-24 01:00:00,4
347,0,2,2011-02-24 02:00:00,1
348,0,2,2011-02-24 03:00:00,1
349,0,8,2011-02-24 05:00:00,6
350,3,34,2011-02-24 06:00:00,33
351,5,102,2011-02-24 07:00:00,95
352,10,243,2011-02-24 08:00:00,233
353,6,125,2011-02-24 09:00:00,120
354,7,58,2011-02-24 10:00:00,49
355,12,75,2011-02-24 11:00:00,58
356,20,96,2011-02-24 12:00:00,75
357,21,92,2011-02-24 13:00:00,72
358,16,88,2011-02-24 14:00:00,72
359,15,39,2011-02-24 15:00:00,32
360,12,50,2011-02-24 16:00:00,52
361,11,165,2011-02-24 17:00:00,183
362,7,167,2011-02-24 18:00:00,160
363,5,89,2011-02-24 19:00:00,88
364,6,77,2011-02-24 20:00:00,75
365,6,59,2011-02-24 21:00:00,51
366,3,32,2011-02-24 22:00:00,25
367,4,29,2011-02-24 23:00:00,26
368,1,8,2011-02-25 00:00:00,7
369,0,9,2011-02-25 01:00:00,7
370,0,5,2011-02-25 02:00:00,4
371,0,2,2011-02-25 03:00:00,2
372,0,6,2011-02-25 05:00:00,6
373,1,24,2011-02-25 06:00:00,26
374,6,64,2011-02-25 07:00:00,60
375,10,147,2011-02-25 08:00:00,158
376,6,90,2011-02-25 09:00:00,94
377,5,30,2011-02-25 10:00:00,28
378,26,97,2011-02-25 11:00:00,87
379,38,147,2011-02-25 12:00:00,109
380,37,145,2011-02-25 13:00:00,110
381,42,149,2011-02-25 14:00:00,109
382,26,139,2011-02-25 15:00:00,81
383,17,106,2011-02-25 16:00:00,87
384,15,190,2011-02-25 17:00:00,175
385,14,182,2011-02-25 18:00:00,164
386,4,108,2011-02-25 19:00:00,108
387,4,79,2011-02-25 20:00:00,75
388,3,56,2011-02-25 21:00:00,56
389,2,39,2011-02-25 22:00:00,37
390,2,29,2011-02-25 23:00:00,26
391,4,28,2011-02-26 00:00:00,27
392,2,21,2011-02-26 01:00:00,19
393,0,17,2011-02-26 02:00:00,15
394,6,13,2011-02-26 03:00:00,8
395,0,3,2011-02-26 04:00:00,2
396,0,2,2011-02-26 05:00:00,2
397,0,2,2011-02-26 06:00:00,1
398,2,6,2011-02-26 07:00:00,6
399,4,26,2011-02-26 08:00:00,13
400,18,44,2011-02-26 09:00:00,35
401,31,102,2011-02-26 10:00:00,81
402,33,114,2011-02-26 11:00:00,88
403,35,123,2011-02-26 12:00:00,95
404,28,129,2011-02-26 13:00:00,98
405,34,136,2011-02-26 14:00:00,101
406,35,141,2011-02-26 15:00:00,108
407,39,146,2011-02-26 16:00:00,101
408,29,107,2011-02-26 17:00:00,82
409,22,81,2011-02-26 18:00:00,64
410,13,65,2011-02-26 19:00:00,49
411,9,64,2011-02-26 20:00:00,44
412,5,43,2011-02-26 21:00:00,36
413,4,47,2011-02-26 22:00:00,39
414,5,41,2011-02-26 23:00:00,38
415,3,26,2011-02-27 00:00:00,19
416,4,23,2011-02-27 01:00:00,20
417,4,23,2011-02-27 02:00:00,19
418,4,20,2011-02-27 03:00:00,11
419,0,4,2011-02-27 04:00:00,3
420,1,2,2011-02-27 06:00:00,1
421,1,9,2011-02-27 07:00:00,7
422,4,26,2011-02-27 08:00:00,12
423,20,52,2011-02-27 09:00:00,35
424,26,77,2011-02-27 10:00:00,54
425,27,120,2011-02-27 11:00:00,87
426,69,158,2011-02-27 12:00:00,115
427,87,164,2011-02-27 13:00:00,125
428,102,163,2011-02-27 14:00:00,118
429,129,214,2011-02-27 15:00:00,114
430,138,287,2011-02-27 16:00:00,130
431,59,125,2011-02-27 17:00:00,88
432,47,114,2011-02-27 18:00:00,82
433,33,99,2011-02-27 19:00:00,67
434,28,81,2011-02-27 20:00:00,59
435,23,77,2011-02-27 21:00:00,46
436,17,53,2011-02-27 22:00:00,43
437,15,36,2011-02-27 23:00:00,27
438,3,16,2011-02-28 00:00:00,12
439,1,7,2011-02-28 01:00:00,4
440,0,1,2011-02-28 03:00:00,1
441,0,7,2011-02-28 05:00:00,7
442,2,37,2011-02-28 06:00:00,37
443,6,125,2011-02-28 07:00:00,107
444,11,239,2011-02-28 08:00:00,230
445,13,168,2011-02-28 09:00:00,158
446,29,118,2011-02-28 10:00:00,88
447,40,145,2011-02-28 11:00:00,108
448,44,167,2011-02-28 12:00:00,117
449,9,66,2011-02-28 13:00:00,50
450,7,31,2011-02-28 14:00:00,30
451,7,27,2011-02-28 15:00:00,27
452,7,51,2011-02-28 16:00:00,53
453,6,168,2011-02-28 17:00:00,183
454,9,162,2011-02-28 18:00:00,208
455,13,96,2011-02-28 19:00:00,115
456,12,72,2011-02-28 20:00:00,102
457,7,64,2011-02-28 21:00:00,72
458,3,29,2011-02-28 22:00:00,20
459,4,32,2011-02-28 23:00:00,27
460,5,35,2011-03-20 00:00:00,28
461,5,28,2011-03-20 01:00:00,24
462,5,21,2011-03-20 02:00:00,17
463,1,10,2011-03-20 03:00:00,7
464,0,2,2011-03-20 04:00:00,1
465,0,1,2011-03-20 05:00:00,1
466,1,1,2011-03-20 06:00:00,1
467,1,9,2011-03-20 07:00:00,8
468,10,39,2011-03-20 08:00:00,31
469,17,52,2011-03-20 09:00:00,39
470,34,122,2011-03-20 10:00:00,101
471,31,131,2011-03-20 11:00:00,101
472,46,147,2011-03-20 12:00:00,113
473,69,156,2011-03-20 13:00:00,123
474,67,154,2011-03-20 14:00:00,118
475,65,155,2011-03-20 15:00:00,120
476,61,148,2011-03-20 16:00:00,118
477,47,115,2011-03-20 17:00:00,87
478,30,114,2011-03-20 18:00:00,77
479,23,70,2011-03-20 19:00:00,50
480,20,71,2011-03-20 20:00:00,44
481,17,59,2011-03-20 21:00:00,45
482,11,37,2011-03-20 22:00:00,36
483,12,33,2011-03-20 23:00:00,26
484,7,30,2011-03-21 00:00:00,31
485,3,12,2011-03-21 01:00:00,8
486,2,9,2011-03-21 02:00:00,5
487,0,2,2011-03-21 03:00:00,2
488,0,13,2011-03-21 05:00:00,14
489,2,49,2011-03-21 06:00:00,49
490,6,94,2011-03-21 07:00:00,95
491,10,237,2011-03-21 08:00:00,298
492,11,153,2011-03-21 09:00:00,156
493,12,74,2011-03-21 10:00:00,61
494,18,93,2011-03-21 11:00:00,75
495,18,89,2011-03-21 12:00:00,78
496,25,132,2011-03-21 13:00:00,111
497,27,129,2011-03-21 14:00:00,106
498,38,152,2011-03-21 15:00:00,112
499,35,207,2011-03-21 16:00:00,188
500,44,408,2011-03-21 17:00:00,344
501,33,400,2011-03-21 18:00:00,340
502,47,296,2011-03-21 19:00:00,234
503,40,265,2011-03-21 20:00:00,224
504,14,100,2011-03-21 21:00:00,90
505,18,106,2011-03-21 22:00:00,95
506,16,67,2011-03-21 23:00:00,50
507,12,38,2011-03-22 00:00:00,34
508,4,17,2011-03-22 01:00:00,10
509,2,9,2011-03-22 02:00:00,5
510,0,3,2011-03-22 03:00:00,3
511,0,4,2011-03-22 04:00:00,3
512,0,18,2011-03-22 05:00:00,18
513,2,69,2011-03-22 06:00:00,65
514,11,190,2011-03-22 07:00:00,216
515,13,267,2011-03-22 08:00:00,336
516,15,157,2011-03-22 09:00:00,161
517,24,126,2011-03-22 10:00:00,73
518,27,128,2011-03-22 11:00:00,90
519,24,153,2011-03-22 12:00:00,116
520,28,130,2011-03-22 13:00:00,112
521,34,122,2011-03-22 14:00:00,95
522,32,127,2011-03-22 15:00:00,105
523,37,236,2011-03-22 16:00:00,202
524,44,420,2011-03-22 17:00:00,394
525,42,390,2011-03-22 18:00:00,375
526,28,193,2011-03-22 19:00:00,208
527,19,140,2011-03-22 20:00:00,146
528,15,96,2011-03-22 21:00:00,90
529,11,80,2011-03-22 22:00:00,76
530,10,50,2011-03-22 23:00:00,44
531,3,30,2011-03-23 00:00:00,34
532,1,10,2011-03-23 01:00:00,7
533,2,11,2011-03-23 02:00:00,8
534,0,3,2011-03-23 03:00:00,2
535,0,12,2011-03-23 05:00:00,10
536,1,59,2011-03-23 06:00:00,55
537,6,125,2011-03-23 07:00:00,170
538,14,239,2011-03-23 08:00:00,312
539,8,157,2011-03-23 09:00:00,174
540,9,83,2011-03-23 10:00:00,49
541,6,80,2011-03-23 11:00:00,69
542,5,92,2011-03-23 12:00:00,80
543,5,100,2011-03-23 13:00:00,41
544,7,123,2011-03-23 14:00:00,89
545,10,101,2011-03-23 15:00:00,82
546,23,150,2011-03-23 16:00:00,133
547,26,329,2011-03-23 17:00:00,316
548,8,194,2011-03-23 18:00:00,226
549,10,144,2011-03-23 19:00:00,161
550,4,66,2011-03-23 20:00:00,66
551,6,54,2011-03-23 21:00:00,49
552,8,67,2011-03-23 22:00:00,57
553,6,51,2011-03-23 23:00:00,47
554,1,16,2011-03-24 00:00:00,15
555,1,6,2011-03-24 01:00:00,6
556,1,7,2011-03-24 02:00:00,4
557,0,3,2011-03-24 03:00:00,3
558,0,3,2011-03-24 04:00:00,2
559,0,15,2011-03-24 05:00:00,13
560,1,56,2011-03-24 06:00:00,56
561,6,76,2011-03-24 07:00:00,69
562,5,115,2011-03-24 08:00:00,116
563,4,103,2011-03-24 09:00:00,111
564,5,52,2011-03-24 10:00:00,45
565,6,71,2011-03-24 11:00:00,48
566,8,76,2011-03-24 12:00:00,63
567,9,80,2011-03-24 13:00:00,70
568,8,95,2011-03-24 14:00:00,74
569,9,88,2011-03-24 15:00:00,76
570,12,135,2011-03-24 16:00:00,170
571,9,271,2011-03-24 17:00:00,322
572,12,223,2011-03-24 18:00:00,254
573,6,163,2011-03-24 19:00:00,162
574,6,92,2011-03-24 20:00:00,102
575,2,84,2011-03-24 21:00:00,99
576,2,72,2011-03-24 22:00:00,71
577,2,50,2011-03-24 23:00:00,45
578,1,21,2011-03-25 00:00:00,18
579,0,9,2011-03-25 01:00:00,8
580,0,4,2011-03-25 02:00:00,4
581,0,2,2011-03-25 03:00:00,2
582,0,2,2011-03-25 04:00:00,2
583,0,13,2011-03-25 05:00:00,11
584,1,67,2011-03-25 06:00:00,65
585,5,150,2011-03-25 07:00:00,202
586,10,288,2011-03-25 08:00:00,348
587,8,166,2011-03-25 09:00:00,171
588,10,104,2011-03-25 10:00:00,78
589,12,103,2011-03-25 11:00:00,87
590,14,112,2011-03-25 12:00:00,103
591,19,119,2011-03-25 13:00:00,101
592,26,123,2011-03-25 14:00:00,106
593,22,119,2011-03-25 15:00:00,100
594,23,147,2011-03-25 16:00:00,150
595,18,249,2011-03-25 17:00:00,255
596,14,255,2011-03-25 18:00:00,267
597,8,147,2011-03-25 19:00:00,161
598,6,114,2011-03-25 20:00:00,120
599,5,90,2011-03-25 21:00:00,94
600,4,56,2011-03-25 22:00:00,61
601,2,46,2011-03-25 23:00:00,41
602,4,35,2011-03-26 00:00:00,32
603,3,30,2011-03-26 01:00:00,26
604,3,21,2011-03-26 02:00:00,22
605,1,11,2011-03-26 03:00:00,8
606,1,4,2011-03-26 04:00:00,3
607,0,4,2011-03-26 05:00:00,4
608,0,10,2011-03-26 06:00:00,11
609,3,41,2011-03-26 07:00:00,36
610,4,86,2011-03-26 08:00:00,95
611,10,115,2011-03-26 09:00:00,93
612,26,165,2011-03-26 10:00:00,129
613,34,171,2011-03-26 11:00:00,119
614,40,196,2011-03-26 12:00:00,131
615,44,202,2011-03-26 13:00:00,129
616,58,205,2011-03-26 14:00:00,123
617,65,231,2011-03-26 15:00:00,122
618,65,207,2011-03-26 16:00:00,123
619,31,185,2011-03-26 17:00:00,119
620,30,172,2011-03-26 18:00:00,118
621,9,126,2011-03-26 19:00:00,90
622,8,88,2011-03-26 20:00:00,74
623,6,64,2011-03-26 21:00:00,58
624,8,62,2011-03-26 22:00:00,57
625,5,45,2011-03-26 23:00:00,42
626,4,36,2011-03-27 00:00:00,33
627,3,29,2011-03-27 01:00:00,26
628,3,23,2011-03-27 02:00:00,22
629,1,10,2011-03-27 03:00:00,8
630,0,4,2011-03-27 04:00:00,3
631,1,7,2011-03-27 06:00:00,9
632,2,87,2011-03-27 07:00:00,17
633,5,68,2011-03-27 08:00:00,60
634,8,97,2011-03-27 09:00:00,84
635,9,140,2011-03-27 10:00:00,127
636,11,150,2011-03-27 11:00:00,125
637,30,177,2011-03-27 12:00:00,137
638,41,196,2011-03-27 13:00:00,129
639,45,190,2011-03-27 14:00:00,121
640,43,206,2011-03-27 15:00:00,129
641,63,208,2011-03-27 16:00:00,121
642,32,187,2011-03-27 17:00:00,119
643,13,163,2011-03-27 18:00:00,116
644,11,144,2011-03-27 19:00:00,97
645,7,92,2011-03-27 20:00:00,87
646,7,67,2011-03-27 21:00:00,57
647,7,62,2011-03-27 22:00:00,56
648,6,52,2011-03-27 23:00:00,57
649,0,21,2011-03-28 00:00:00,16
650,0,9,2011-03-28 01:00:00,7
651,0,7,2011-03-28 02:00:00,8
652,0,3,2011-03-28 03:00:00,3
653,0,16,2011-03-28 05:00:00,15
654,0,63,2011-03-28 06:00:00,58
655,5,161,2011-03-28 07:00:00,202
656,10,272,2011-03-28 08:00:00,340
657,12,160,2011-03-28 09:00:00,176
658,11,100,2011-03-28 10:00:00,74
659,11,105,2011-03-28 11:00:00,103
660,12,116,2011-03-28 12:00:00,158
661,16,116,2011-03-28 13:00:00,157
662,18,113,2011-03-28 14:00:00,168
663,18,113,2011-03-28 15:00:00,168
664,21,153,2011-03-28 16:00:00,193
